path,artifact_type,size_bytes,raw_data_rows,orphan_class,zero_row_cannot_support_null,resolution_status,registry_experiment_id,resolution_problems
results/appendix/formula_leakage/analysis/per_family_summary.csv,csv,596,5,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/analysis/summary.json,json,298,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/behavioural/family_summaries.jsonl,jsonl,6693,15,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/behavioural/llama_primary_formula_stub.jsonl,jsonl,11270,15,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/behavioural/prompt_records.jsonl,jsonl,27117,30,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/behavioural/qwen_primary_20260620T063936Z.jsonl,jsonl,11270,15,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/behavioural/qwen_primary_20260620T074602Z.jsonl,jsonl,11270,15,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/behavioural/qwen_primary_20260620T084819Z.jsonl,jsonl,11270,15,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/behavioural/run_behavioural_events.jsonl,jsonl,26736,51,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/formula_leakage_analysis_summary.json,json,1373,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/formula_leakage_prompt_pairs.json,json,4736,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/formula_leakage_summary.json,json,1373,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/generated_families/CM_A_STD_009_FORMULA.json,json,1038,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/generated_families/CM_B_010_FORMULA.json,json,1264,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/generated_families/CM_B_UM_028_FORMULA.json,json,1229,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/generated_families/TH_B_UM_001_FORMULA.json,json,1165,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/generated_families/TH_B_UM_003_FORMULA.json,json,1137,,paper_relevant_noncritical,False,unresolved,,
results/appendix/formula_leakage/generated_families_manifest.json,json,914,,paper_relevant_noncritical,False,unresolved,,
results/behavioural/dry_run_qwen/family_summaries.jsonl,jsonl,11090,30,paper_relevant_noncritical,False,unresolved,,
results/behavioural/dry_run_qwen/prompt_records.jsonl,jsonl,55906,120,paper_relevant_noncritical,False,unresolved,,
results/behavioural/dry_run_qwen/run_behavioural_events.jsonl,jsonl,64647,152,paper_relevant_noncritical,False,unresolved,,
results/canonical/model_family_evidence.csv,csv,129349,295,paper_relevant_noncritical,False,unresolved,,
results/canonical/model_family_evidence_v4.csv,csv,193508,295,paper_relevant_noncritical,False,unresolved,,
results/canonical/model_family_evidence_v5.csv,csv,35912,155,paper_relevant_noncritical,False,unresolved,,
results/canonical/model_family_evidence_v6.csv,csv,60895,465,paper_relevant_noncritical,False,unresolved,,
results/canonical/model_variant_evidence.csv,csv,368393,1180,paper_relevant_noncritical,False,unresolved,,
results/stage10/answer_bias/answer_bias_results.csv,csv,1075,40,paper_relevant_noncritical,False,unresolved,,
results/stage10/answer_bias/answer_bias_summary.json,json,1473,,paper_relevant_noncritical,False,unresolved,,
results/stage10/answer_bias/run_causal_patching_events.jsonl,jsonl,1409,1,paper_relevant_noncritical,False,unresolved,,
results/stage10/attention_llama/family_head_contributions.json,json,56325,320,paper_relevant_noncritical,False,unresolved,,
results/stage10/attention_llama/head_sensitivity_scores.json,json,5351,32,paper_relevant_noncritical,False,unresolved,,
results/stage10/attention_llama/probe_weights_layer20.npy,npy,16512,,paper_relevant_noncritical,False,unresolved,,
results/stage10/attention_llama/run_attention_analysis_events.jsonl,jsonl,292,1,paper_relevant_noncritical,False,unresolved,,
results/stage10/attention_patterns/attention_pattern_per_family.json,json,25004,80,paper_relevant_noncritical,False,unresolved,,
results/stage10/attention_patterns/attention_pattern_summary.json,json,1575,,paper_relevant_noncritical,False,unresolved,,
results/stage10/attention_patterns/run_causal_patching_events.jsonl,jsonl,330,1,paper_relevant_noncritical,False,unresolved,,
results/stage10/baselines/token_entropy/run_token_entropy_baseline_events.jsonl,jsonl,1110,2,paper_relevant_noncritical,False,unresolved,,
results/stage10/baselines/token_entropy/token_entropy_per_family.json,json,51988,135,paper_relevant_noncritical,False,unresolved,,
results/stage10/baselines/token_entropy/token_entropy_summary.json,json,368,,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/expansion_summary.json,json,524,,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/render_all_templates_events.jsonl,jsonl,5835,20,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/render_frame_rendering_electrostatics.json,json,136,,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/render_frame_rendering_mechanics.json,json,136,,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/render_frame_rendering_thermodynamics.json,json,136,,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/render_nongoverning_mechanics.json,json,136,,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/render_nongoverning_thermodynamics.json,json,136,,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/rendered/frame_rendering/electrostatics_circuits/CM_C_006.json,json,1237,,paper_relevant_noncritical,False,unresolved,,
results/stage10/benchmark_expansion/rendered/frame_rendering/electrostatics_circuits/CM_C_008.json,json,1252,,paper_relevant_noncritical,False,unresolved,,
