expected_run_id,job_id,job_name,model_id,panel_identity,terminal_state,run_class,registry_experiment_id,mapping_status,match_score
sharanga_job_242255,242255,physmon_smoke_a100,unresolved,unresolved,FAILED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242257,242257,physmon_smoke_a100,unresolved,unresolved,COMPLETED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242267,242267,physmon_part2_validate,unresolved,unresolved,FAILED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242268,242268,physmon_part2_validate,unresolved,unresolved,CANCELLED by 1248300607,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242273,242273,physmon_part2_fast,unresolved,unresolved,CANCELLED by 1248300607,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242313,242313,physmon_tl_qwen7b,qwen,unresolved,CANCELLED by 1248300607,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242318,242318,physmon_tl_direct_qwen7b,qwen,data/manifests/physmon_canonical_155.jsonl,FAILED,infrastructure,stage10_direct_logit_attribution,infrastructure_not_registrable,0.5
sharanga_job_242321,242321,physmon_tl_hf_qwen7b,qwen,unresolved,CANCELLED by 1248300607,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242323,242323,physmon_tl_hf_qwen7b_fast,qwen,unresolved,CANCELLED by 1248300607,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242332,242332,physmon_tl_hf_mistral7b_fast,mistral,unresolved,CANCELLED by 1248300607,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242335,242335,physmon_tl_qwen_probe,qwen,data/manifests/physmon_canonical_155.jsonl,CANCELLED by 1248300607,infrastructure,stage10_qwen_mean_probe_full_sweep,infrastructure_not_registrable,1.0
sharanga_job_242336,242336,physmon_tl_llama_probe,llama,data/manifests/physmon_canonical_155.jsonl,CANCELLED by 1248300607,infrastructure,stage10_qwen_mean_probe_full_sweep,infrastructure_not_registrable,0.667
sharanga_job_242337,242337,physmon_tl_qwen_probe,qwen,data/manifests/physmon_canonical_155.jsonl,COMPLETED,infrastructure,stage10_qwen_mean_probe_full_sweep,infrastructure_not_registrable,1.0
sharanga_job_242338,242338,physmon_tl_llama_probe,llama,data/manifests/physmon_canonical_155.jsonl,COMPLETED,infrastructure,stage10_qwen_mean_probe_full_sweep,infrastructure_not_registrable,0.667
sharanga_job_242353,242353,physmon_hooks_qwen,qwen,unresolved,COMPLETED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242354,242354,physmon_hooks_qwen,qwen,unresolved,COMPLETED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242355,242355,physmon_hooks_qwen,qwen,unresolved,COMPLETED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242356,242356,physmon_logprob_qwen,qwen,unresolved,COMPLETED,candidate_science_run,,unmatched,0.0
sharanga_job_242357,242357,physmon_hooks_llama,llama,unresolved,COMPLETED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242358,242358,physmon_logprob_llama,llama,unresolved,COMPLETED,candidate_science_run,,unmatched,0.0
sharanga_job_242380,242380,physmon_ds_r1_validate,unresolved,unresolved,COMPLETED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242382,242382,physmon_ds_r1_validate,unresolved,unresolved,COMPLETED,infrastructure,,infrastructure_not_registrable,0.0
sharanga_job_242396,242396,physmon_stage4_qwen,qwen,unresolved,COMPLETED,candidate_science_run,,unmatched,0.0
sharanga_job_242397,242397,physmon_stage4_llama,llama,unresolved,COMPLETED,candidate_science_run,,unmatched,0.0
sharanga_job_242485,242485,physmon_stage4r_mini_qwen,qwen,unresolved,CANCELLED by 1248300607,candidate_science_run,,unmatched,0.0
